Scheme_ID,Scheme_Name,Type,State,District,Category,Crop,Min_Land_Acres,Max_Land_Acres,Income_Limit,Gender,Age_Min,Age_Max,FPO_Required,Organic_Required,Irrigation_Required,Need,Eligibility,Benefit,Subsidy,Required_Documents,Apply_At,Official_Website,Keywords
AGRI001,PMKSY - Maharashtra Nagpur Chapter,State Government,Maharashtra,Nagpur,Irrigation,Sugarcane,0.0,25.0,None,All,21,60,Yes,No,Yes,Need irrigation support,"Farmers residing in Nagpur district of Maharashtra, cultivating Sugarcane, owning between 0.0 and 25.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",50% to 55% subsidy on drip/sprinkler,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",Block Development Office,https://pmksy.gov.in/,"sugarcane, irrigation, maharashtra farmer, nagpur, pmksy, government subsidy, agricultural support"
AGRI002,PKVY - Kerala Alappuzha Chapter,State Government,Kerala,Alappuzha,Organic Farming,Pulses,0.0,5.0,Below ₹1.5 Lakh/year,Female Only,21,65,No,Yes,No,Need organic certification,"Farmers residing in Alappuzha district of Kerala, cultivating Pulses, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal. Must adhere to certified organic farming practices.","₹50,000 per ha assistance for cluster organic farming",Up to ₹1 lakh,"Aadhaar Card, Land ownership document, Bank account details, Soil Health Card, Caste certificate (where applicable), Farmer registration certificate, Crop details",FPO Office,https://pgsindia-ncof.gov.in/,"pulses, organic farming, kerala farmer, alappuzha, pkvy, government subsidy, agricultural support"
AGRI003,AIF (Agriculture Infrastructure Fund) (Karnataka Implementation),Central Government,Karnataka,Belagavi,Storage,Fruits,0.0,25.0,Below ₹5 Lakh/year,Female Only,18,60,Yes,Yes,No,Need cold storage and infrastructure,"Farmers residing in Belagavi district of Karnataka, cultivating Fruits, owning between 0.0 and 25.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative. Must adhere to certified organic farming practices.",3% interest subvention up to ₹2 crore,60%,"Aadhaar Card, Land ownership document, Bank account details",CSC Center,https://agriinfra.dac.gov.in/,"fruits, storage, karnataka farmer, belagavi, aif, government subsidy, agricultural support"
AGRI004,PMKSY (Pradhan Mantri Krishi Sinchayee Yojana) (Odisha Implementation),Central Government,Odisha,Balasore,Irrigation,Sugarcane,1.0,10.0,Below ₹2.5 Lakh/year,Female Only,18,65,No,No,Yes,Need irrigation support,"Farmers residing in Balasore district of Odisha, cultivating Sugarcane, owning between 1.0 and 10.0 acres of land, registered with the state agriculture portal.",50% to 55% subsidy on drip/sprinkler,Up to ₹5 lakh,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable)",CSC Center,https://pmksy.gov.in/,"sugarcane, irrigation, odisha farmer, balasore, pmksy, government subsidy, agricultural support"
AGRI005,"Formation and Promotion of 10,000 FPOs Scheme (Punjab Implementation)",FPO Support,Punjab,Bhatinda,FPO Development,Tomato,0.0,10.0,None,All (Priority for Women),21,65,Yes,No,No,Need market linkage and aggregation,"Farmers residing in Bhatinda district of Punjab, cultivating Tomato, owning between 0.0 and 10.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Up to ₹18 lakh financial support per FPO,Up to ₹2 lakh,"Aadhaar Card, Land ownership document, Bank account details",District Agriculture Office,https://www.sfacindia.com/,"tomato, fpo development, punjab farmer, bhatinda, formation, government subsidy, agricultural support"
AGRI006,e-NAM (National Agriculture Market) (Rajasthan Implementation),Central Government,Rajasthan,Ganganagar,Marketing,Pulses,0.0,20.0,Below ₹1.5 Lakh/year,Female Only,18,65,Yes,No,No,Need market linkage,"Farmers residing in Ganganagar district of Rajasthan, cultivating Pulses, owning between 0.0 and 20.0 acres of land, registered with the state agriculture portal. Must be a member of a registered FPO/Cooperative.",Free access to online trading platform,40%,"Aadhaar Card, Land ownership document, Bank account details",District Agriculture Office,https://www.enam.gov.in/,"pulses, marketing, rajasthan farmer, ganganagar, e-nam, government subsidy, agricultural support"
AGRI007,SMAM - West Bengal North 24 Parganas Chapter,State Government,West Bengal,North 24 Parganas,Farm Mechanization,Sugarcane,2.0,10.0,Below ₹5 Lakh/year,All,18,70,No,No,Yes,Need farm machinery,"Farmers residing in North 24 Parganas district of West Bengal, cultivating Sugarcane, owning between 2.0 and 10.0 acres of land, registered with the state agriculture portal.",40% to 50% subsidy on farm implements,50%,"Aadhaar Card, Land ownership document, Bank account details",NABARD Office,https://agrimachinery.nic.in/,"sugarcane, farm mechanization, west bengal farmer, north 24 parganas, smam, government subsidy, agricultural support"
AGRI008,PM-KUSUM (Solar Agriculture Pumps Scheme) (Madhya Pradesh Implementation),Central Government,Madhya Pradesh,Jabalpur,Irrigation,Wheat,2.0,25.0,Below ₹2.5 Lakh/year,All (Priority for Women),21,65,No,No,Yes,Need irrigation support,"Farmers residing in Jabalpur district of Madhya Pradesh, cultivating Wheat, owning between 2.0 and 25.0 acres of land, registered with the state agriculture portal.",Up to 60% subsidy on solar pump installation,Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details",Horticulture Department Office,https://pmkusum.mnre.gov.in/,"wheat, irrigation, madhya pradesh farmer, jabalpur, pm-kusum, government subsidy, agricultural support"
AGRI009,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi) (Gujarat Implementation),Central Government,Gujarat,Junagadh,Credit,Cotton,0.0,5.0,None,All (Priority for Women),18,60,No,No,No,Need credit support,"Farmers residing in Junagadh district of Gujarat, cultivating Cotton, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.","₹6,000 per year in 3 installments",Up to ₹10 lakh,"Aadhaar Card, Land ownership document, Bank account details, Farmer registration certificate, Crop details",Horticulture Department Office,https://pmkisan.gov.in/,"cotton, credit, gujarat farmer, junagadh, pm-kisan, government subsidy, agricultural support"
AGRI010,Cooperative Agricultural Credit Structure Scheme (Madhya Pradesh Implementation),Cooperative,Madhya Pradesh,Bhopal,Credit,Wheat,0.0,5.0,Below ₹5 Lakh/year,Male & Female,21,75,No,No,No,Need short term crop credit,"Farmers residing in Bhopal district of Madhya Pradesh, cultivating Wheat, owning between 0.0 and 5.0 acres of land, registered with the state agriculture portal.",Low interest short term loans,60%,"Aadhaar Card, Land ownership document, Bank account details, Caste certificate (where applicable), Farmer registration certificate, Crop details",CSC Center,State Agriculture Department Portal,"wheat, credit, madhya pradesh farmer, bhopal, cooperative, government subsidy, agricultural support"
