Disease_ID,Crop,Disease_Name,Disease_Type,Causal_Organism,Symptoms,Treatment,Organic_Control,Chemical_Control,Prevention,Favorable_Conditions,Severity,Yield_Loss_Percentage,Recommended_Fertilizer,Keywords
DIS0001,Tomato,Late Blight,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Disease-free seeds,Cool weather,Low,53,Balanced NPK,"Tomato,Late Blight"
DIS0002,Tomato,Late Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Neem oil spray,Metalaxyl,Crop rotation,Heavy rainfall,High,47,Balanced NPK,"Tomato,Late Blight"
DIS0003,Tomato,Late Blight,Fungal,Various,Stem lesions,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Field sanitation,High humidity,Medium,20,Balanced NPK,"Tomato,Late Blight"
DIS0004,Tomato,Late Blight,Fungal,Various,Brown spots on leaves,Use certified seeds,Trichoderma application,Mancozeb,Crop rotation,Cool weather,High,41,Balanced NPK,"Tomato,Late Blight"
DIS0005,Tomato,Late Blight,Fungal,Various,Stem lesions,Improve drainage,Compost tea,Carbendazim,Proper spacing,Poor air circulation,High,56,Balanced NPK,"Tomato,Late Blight"
DIS0006,Tomato,Late Blight,Fungal,Various,Leaf curling,Remove infected leaves,Garlic extract spray,Chlorothalonil,Proper spacing,High humidity,Medium,18,Balanced NPK,"Tomato,Late Blight"
DIS0007,Tomato,Late Blight,Fungal,Various,Leaf curling,Apply copper-based fungicide,Compost tea,Mancozeb,Proper spacing,Cool weather,High,36,Balanced NPK,"Tomato,Late Blight"
DIS0008,Tomato,Late Blight,Fungal,Various,Fruit rot,Remove infected leaves,Compost tea,Chlorothalonil,Disease-free seeds,Heavy rainfall,High,16,Balanced NPK,"Tomato,Late Blight"
DIS0009,Tomato,Late Blight,Fungal,Various,Leaf curling,Avoid overhead irrigation,Compost tea,Mancozeb,Crop rotation,Poor air circulation,Medium,33,Balanced NPK,"Tomato,Late Blight"
DIS0010,Tomato,Late Blight,Fungal,Various,Yellowing of leaves,Apply copper-based fungicide,Garlic extract spray,Copper Oxychloride,Crop rotation,Heavy rainfall,Medium,17,Balanced NPK,"Tomato,Late Blight"
DIS0011,Tomato,Late Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Compost tea,Mancozeb,Field sanitation,Heavy rainfall,High,31,Balanced NPK,"Tomato,Late Blight"
DIS0012,Tomato,Late Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Compost tea,Copper Oxychloride,Field sanitation,Poor air circulation,Low,52,Balanced NPK,"Tomato,Late Blight"
DIS0013,Tomato,Late Blight,Fungal,Various,Fruit rot,Avoid overhead irrigation,Garlic extract spray,Metalaxyl,Field sanitation,Heavy rainfall,Medium,34,Balanced NPK,"Tomato,Late Blight"
DIS0014,Tomato,Late Blight,Fungal,Various,Wilting,Improve drainage,Garlic extract spray,Metalaxyl,Disease-free seeds,Poor air circulation,Low,19,Balanced NPK,"Tomato,Late Blight"
DIS0015,Tomato,Late Blight,Fungal,Various,Yellowing of leaves,Remove infected leaves,Neem oil spray,Copper Oxychloride,Disease-free seeds,Cool weather,Medium,6,Balanced NPK,"Tomato,Late Blight"
DIS0016,Tomato,Late Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Trichoderma application,Chlorothalonil,Balanced fertilization,Poor air circulation,Low,51,Balanced NPK,"Tomato,Late Blight"
DIS0017,Tomato,Late Blight,Fungal,Various,Wilting,Improve drainage,Compost tea,Copper Oxychloride,Disease-free seeds,Cool weather,High,36,Balanced NPK,"Tomato,Late Blight"
DIS0018,Tomato,Late Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Neem oil spray,Copper Oxychloride,Disease-free seeds,Poor air circulation,Medium,54,Balanced NPK,"Tomato,Late Blight"
DIS0019,Tomato,Late Blight,Fungal,Various,Fruit rot,Apply recommended fungicide,Trichoderma application,Copper Oxychloride,Crop rotation,Cool weather,Low,31,Balanced NPK,"Tomato,Late Blight"
DIS0020,Tomato,Late Blight,Fungal,Various,Fruit rot,Remove infected leaves,Trichoderma application,Mancozeb,Disease-free seeds,Heavy rainfall,High,25,Balanced NPK,"Tomato,Late Blight"
DIS0021,Tomato,Late Blight,Fungal,Various,Yellowing of leaves,Improve drainage,Trichoderma application,Copper Oxychloride,Disease-free seeds,Cool weather,High,16,Balanced NPK,"Tomato,Late Blight"
DIS0022,Tomato,Late Blight,Fungal,Various,Stem lesions,Apply copper-based fungicide,Neem oil spray,Mancozeb,Crop rotation,Heavy rainfall,Medium,25,Balanced NPK,"Tomato,Late Blight"
DIS0023,Tomato,Late Blight,Fungal,Various,Fruit rot,Improve drainage,Compost tea,Mancozeb,Crop rotation,High humidity,High,52,Balanced NPK,"Tomato,Late Blight"
DIS0024,Tomato,Late Blight,Fungal,Various,Fruit rot,Remove infected leaves,Garlic extract spray,Metalaxyl,Proper spacing,High humidity,Medium,28,Balanced NPK,"Tomato,Late Blight"
DIS0025,Tomato,Late Blight,Fungal,Various,Leaf curling,Apply recommended fungicide,Neem oil spray,Carbendazim,Proper spacing,Poor air circulation,Low,16,Balanced NPK,"Tomato,Late Blight"
DIS0026,Tomato,Late Blight,Fungal,Various,Leaf curling,Avoid overhead irrigation,Neem oil spray,Chlorothalonil,Disease-free seeds,Heavy rainfall,Medium,27,Balanced NPK,"Tomato,Late Blight"
DIS0027,Tomato,Late Blight,Fungal,Various,Wilting,Use certified seeds,Neem oil spray,Mancozeb,Balanced fertilization,Heavy rainfall,High,25,Balanced NPK,"Tomato,Late Blight"
DIS0028,Tomato,Late Blight,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Compost tea,Copper Oxychloride,Field sanitation,Poor air circulation,High,8,Balanced NPK,"Tomato,Late Blight"
DIS0029,Tomato,Late Blight,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Trichoderma application,Metalaxyl,Field sanitation,High humidity,Low,38,Balanced NPK,"Tomato,Late Blight"
DIS0030,Tomato,Late Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Garlic extract spray,Carbendazim,Balanced fertilization,Cool weather,Low,57,Balanced NPK,"Tomato,Late Blight"
DIS0031,Tomato,Late Blight,Fungal,Various,Leaf drying,Use certified seeds,Neem oil spray,Copper Oxychloride,Crop rotation,Cool weather,Medium,26,Balanced NPK,"Tomato,Late Blight"
DIS0032,Tomato,Late Blight,Fungal,Various,White fungal growth,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Proper spacing,High humidity,High,54,Balanced NPK,"Tomato,Late Blight"
DIS0033,Tomato,Late Blight,Fungal,Various,White fungal growth,Improve drainage,Garlic extract spray,Metalaxyl,Balanced fertilization,Poor air circulation,High,5,Balanced NPK,"Tomato,Late Blight"
DIS0034,Tomato,Late Blight,Fungal,Various,Brown spots on leaves,Use certified seeds,Neem oil spray,Metalaxyl,Disease-free seeds,High humidity,Medium,13,Balanced NPK,"Tomato,Late Blight"
DIS0035,Tomato,Late Blight,Fungal,Various,Leaf drying,Apply recommended fungicide,Garlic extract spray,Mancozeb,Disease-free seeds,Cool weather,Medium,12,Balanced NPK,"Tomato,Late Blight"
DIS0036,Tomato,Late Blight,Fungal,Various,Wilting,Apply copper-based fungicide,Neem oil spray,Copper Oxychloride,Disease-free seeds,High humidity,High,9,Balanced NPK,"Tomato,Late Blight"
DIS0037,Tomato,Late Blight,Fungal,Various,Wilting,Avoid overhead irrigation,Garlic extract spray,Copper Oxychloride,Proper spacing,Heavy rainfall,Low,35,Balanced NPK,"Tomato,Late Blight"
DIS0038,Tomato,Late Blight,Fungal,Various,Leaf drying,Apply recommended fungicide,Garlic extract spray,Chlorothalonil,Field sanitation,High humidity,Medium,38,Balanced NPK,"Tomato,Late Blight"
DIS0039,Tomato,Late Blight,Fungal,Various,White fungal growth,Apply copper-based fungicide,Garlic extract spray,Copper Oxychloride,Crop rotation,Cool weather,Medium,10,Balanced NPK,"Tomato,Late Blight"
DIS0040,Tomato,Late Blight,Fungal,Various,Wilting,Use certified seeds,Garlic extract spray,Metalaxyl,Crop rotation,Cool weather,Low,39,Balanced NPK,"Tomato,Late Blight"
DIS0041,Tomato,Early Blight,Fungal,Various,Stem lesions,Avoid overhead irrigation,Compost tea,Chlorothalonil,Proper spacing,High humidity,Medium,27,Balanced NPK,"Tomato,Early Blight"
DIS0042,Tomato,Early Blight,Fungal,Various,Leaf drying,Remove infected leaves,Garlic extract spray,Carbendazim,Field sanitation,Cool weather,Low,52,Balanced NPK,"Tomato,Early Blight"
DIS0043,Tomato,Early Blight,Fungal,Various,Brown spots on leaves,Apply copper-based fungicide,Neem oil spray,Metalaxyl,Proper spacing,Poor air circulation,Medium,23,Balanced NPK,"Tomato,Early Blight"
DIS0044,Tomato,Early Blight,Fungal,Various,Leaf drying,Use certified seeds,Trichoderma application,Chlorothalonil,Disease-free seeds,Poor air circulation,Medium,37,Balanced NPK,"Tomato,Early Blight"
DIS0045,Tomato,Early Blight,Fungal,Various,Fruit rot,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Crop rotation,Cool weather,Medium,27,Balanced NPK,"Tomato,Early Blight"
DIS0046,Tomato,Early Blight,Fungal,Various,Stem lesions,Use certified seeds,Garlic extract spray,Copper Oxychloride,Field sanitation,High humidity,High,19,Balanced NPK,"Tomato,Early Blight"
DIS0047,Tomato,Early Blight,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Trichoderma application,Chlorothalonil,Crop rotation,Heavy rainfall,Medium,43,Balanced NPK,"Tomato,Early Blight"
DIS0048,Tomato,Early Blight,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Garlic extract spray,Mancozeb,Proper spacing,Cool weather,Medium,60,Balanced NPK,"Tomato,Early Blight"
DIS0049,Tomato,Early Blight,Fungal,Various,Stem lesions,Improve drainage,Trichoderma application,Metalaxyl,Disease-free seeds,Poor air circulation,High,24,Balanced NPK,"Tomato,Early Blight"
DIS0050,Tomato,Early Blight,Fungal,Various,Wilting,Apply recommended fungicide,Trichoderma application,Carbendazim,Crop rotation,Heavy rainfall,Medium,5,Balanced NPK,"Tomato,Early Blight"
DIS0051,Tomato,Early Blight,Fungal,Various,Stem lesions,Apply recommended fungicide,Compost tea,Mancozeb,Proper spacing,Heavy rainfall,High,33,Balanced NPK,"Tomato,Early Blight"
DIS0052,Tomato,Early Blight,Fungal,Various,Leaf curling,Apply recommended fungicide,Garlic extract spray,Carbendazim,Crop rotation,Poor air circulation,Medium,32,Balanced NPK,"Tomato,Early Blight"
DIS0053,Tomato,Early Blight,Fungal,Various,Brown spots on leaves,Apply recommended fungicide,Compost tea,Carbendazim,Proper spacing,Heavy rainfall,Low,18,Balanced NPK,"Tomato,Early Blight"
DIS0054,Tomato,Early Blight,Fungal,Various,Stem lesions,Improve drainage,Compost tea,Metalaxyl,Balanced fertilization,Cool weather,Medium,21,Balanced NPK,"Tomato,Early Blight"
DIS0055,Tomato,Early Blight,Fungal,Various,Yellowing of leaves,Avoid overhead irrigation,Compost tea,Metalaxyl,Proper spacing,Poor air circulation,Medium,9,Balanced NPK,"Tomato,Early Blight"
DIS0056,Tomato,Early Blight,Fungal,Various,Yellowing of leaves,Use certified seeds,Trichoderma application,Metalaxyl,Proper spacing,High humidity,Medium,22,Balanced NPK,"Tomato,Early Blight"
DIS0057,Tomato,Early Blight,Fungal,Various,White fungal growth,Apply copper-based fungicide,Garlic extract spray,Chlorothalonil,Balanced fertilization,Cool weather,Low,9,Balanced NPK,"Tomato,Early Blight"
DIS0058,Tomato,Early Blight,Fungal,Various,Wilting,Use certified seeds,Trichoderma application,Copper Oxychloride,Crop rotation,Poor air circulation,High,27,Balanced NPK,"Tomato,Early Blight"
DIS0059,Tomato,Early Blight,Fungal,Various,Wilting,Remove infected leaves,Trichoderma application,Metalaxyl,Field sanitation,Cool weather,Medium,60,Balanced NPK,"Tomato,Early Blight"
DIS0060,Tomato,Early Blight,Fungal,Various,Stem lesions,Remove infected leaves,Garlic extract spray,Copper Oxychloride,Field sanitation,Poor air circulation,High,22,Balanced NPK,"Tomato,Early Blight"
DIS0061,Tomato,Early Blight,Fungal,Various,Yellowing of leaves,Apply recommended fungicide,Compost tea,Mancozeb,Balanced fertilization,Poor air circulation,Low,19,Balanced NPK,"Tomato,Early Blight"
DIS0062,Tomato,Early Blight,Fungal,Various,Wilting,Remove infected leaves,Neem oil spray,Mancozeb,Balanced fertilization,High humidity,Medium,12,Balanced NPK,"Tomato,Early Blight"
DIS0063,Tomato,Early Blight,Fungal,Various,Stem lesions,Remove infected leaves,Trichoderma application,Carbendazim,Balanced fertilization,Heavy rainfall,Low,31,Balanced NPK,"Tomato,Early Blight"
