State,District,Market,Crop,Variety,Arrival_Tonnes,Modal_Price,Min_Price,Max_Price,Price_Trend,Demand,Supply,Quality,MSP_Available,Export_Demand,Storage_Available,Season,Weather_Impact,Transport_Cost_Per_Tonne,Distance_From_Farm_KM,Market_Rating,Best_Time_To_Sell,Expected_Price_7_Days,Expected_Price_30_Days,Last_Updated
Telangana,Warangal,Lasalgaon,Onion,White Onion,2336,2320,1774,2769,Stable,Low,High,Premium,Yes,Low,Yes,Rabi,Heatwave,4439,313,3.1,Within 3 Days,2340,2366,2026-07-27
Punjab,Gurdaspur,Ahmedabad,Onion,Red Onion,11488,1681,1534,1968,Rising,Medium,Medium,Premium,No,Medium,Yes,Zaid,Heatwave,3117,314,3.5,Today,1788,1855,2026-07-27
Karnataka,Shivamogga,Solapur,Banana,Nendran,11593,3190,2549,3513,Rising,High,High,Premium,Yes,Low,No,Zaid,Heatwave,4014,330,4.7,Within 3 Days,3324,3416,2026-07-29
Odisha,Cuttack,Jaipur,Soybean,Co-1,4060,4266,3698,4860,Falling,High,Medium,Good,Yes,Medium,Yes,Kharif,Cold Wave,2884,210,3.5,Within 3 Days,4158,3868,2026-07-28
Punjab,Gurdaspur,Ludhiana,Turmeric,Salem Turmeric,2337,5788,5076,6920,Stable,High,Low,Average,No,Low,No,Rabi,Normal,1433,265,4.0,Today,5871,5587,2026-07-31
Bihar,Arrah,Jaipur,Maize,DMH-1,2490,1959,1783,2475,Stable,Medium,Low,Premium,No,Medium,No,Kharif,Flood,2704,227,3.3,Today,1994,2032,2026-07-29
Tamil Nadu,Coimbatore,Kurnool,Cotton,NHH-44,10518,5173,4550,6340,Rising,Low,Low,Average,Yes,High,No,Perennial,Normal,459,62,4.9,Next Week,5350,5556,2026-07-24
Karnataka,Belagavi,Patna,Groundnut,TL-001,3186,5227,4066,6389,Falling,High,High,Average,No,Low,Yes,Rabi,Drought,2853,209,5.0,Within 10 Days,4925,4913,2026-07-26
Karnataka,Dharwad,Nagpur,Maize,Yellow Maize,2459,693,528,866,Rising,Low,High,Premium,Yes,Low,Yes,Zaid,Heavy Rain,880,268,3.5,Within 10 Days,727,765,2026-07-24
Andhra Pradesh,Prakasam,Nagpur,Groundnut,TAG-24,1595,5735,4702,7531,Falling,High,Low,Premium,Yes,Medium,Yes,Perennial,Heatwave,3079,60,3.5,Within 3 Days,5460,4955,2026-07-31
Haryana,Kaithal,Nagpur,Maize,DMH-1,451,1258,1141,1646,Rising,High,Low,Premium,No,Low,No,Perennial,Drought,2051,210,4.8,Within 3 Days,1311,1444,2026-07-29
Chhattisgarh,Jagdalpur,Solapur,Grapes,Cheema Saheb,9155,2783,2227,3733,Rising,Low,Low,Average,Yes,Medium,No,Kharif,Cold Wave,710,304,4.0,Hold for 30 Days,2864,3189,2026-08-01
West Bengal,Durgapur,Pune,Maize,Vivek Hybrid,6665,2097,1586,2311,Stable,High,Low,Average,No,High,No,Rabi,Heatwave,2873,127,3.5,Within 3 Days,2111,2055,2026-07-28
Chhattisgarh,Bhilai,Lasalgaon,Turmeric,Rajapur Turmeric,459,6380,4928,7491,Stable,High,Low,Premium,Yes,High,No,Zaid,Drought,1592,229,4.7,Within 10 Days,6329,6688,2026-07-23
Tamil Nadu,Salem,Chennai,Pulses,Urad Dal,1747,10159,7887,11744,Rising,High,Medium,Premium,No,High,Yes,Zaid,Cold Wave,4440,255,3.5,Today,10418,11097,2026-07-29
Maharashtra,Nashik,Indore,Sugarcane,Co-13006,2697,330,278,366,Stable,Low,Medium,Average,Yes,Low,Yes,Zaid,Normal,4826,80,3.9,Today,327,343,2026-08-02
Chhattisgarh,Rajnandgaon,Belagavi,Potato,Kufri Chipsona,1498,778,705,889,Stable,Low,Medium,Premium,Yes,Low,No,Kharif,Heavy Rain,1769,382,4.8,Hold for 15 Days,787,806,2026-07-30
Haryana,Hisar,Varanasi,Cotton,PKV Rajat,3566,4881,3913,6319,Falling,Medium,High,Premium,Yes,High,Yes,Rabi,Heavy Rain,3564,173,3.6,Today,4773,4285,2026-07-23
Tamil Nadu,Erode,Chennai,Pulses,Urad Dal,522,3431,2636,4108,Falling,Medium,High,Average,No,Low,No,Kharif,Heavy Rain,3455,300,3.4,Today,3302,2916,2026-07-25
Telangana,Karimnagar,Kota,Grapes,Thompson Grapes,5459,4375,3950,5324,Rising,Low,Medium,Average,No,Low,No,Perennial,Cold Wave,2722,288,3.3,Hold for 15 Days,4637,4759,2026-07-31
Andhra Pradesh,East Godavari,Solapur,Mango,Kesar Mango,1294,4485,3862,5406,Stable,Medium,High,Good,Yes,Medium,No,Rabi,Heavy Rain,994,150,4.0,Within 10 Days,4506,4302,2026-07-30
Telangana,Khammam,Nagpur,Tomato,Deshi Tomato,239,3524,2891,4405,Rising,High,Medium,Premium,No,Low,No,Perennial,Heavy Rain,2298,80,4.3,Today,3783,4003,2026-08-01
Bihar,Arrah,Nagpur,Soybean,PK-416,1952,4638,3583,5590,Rising,High,Low,Average,No,High,No,Perennial,Drought,4788,233,4.8,Within 10 Days,4970,5078,2026-07-30
West Bengal,Siliguri,Bhopal,Millet,Foxtail Millet,3969,1963,1550,2298,Stable,Medium,Medium,Average,Yes,High,Yes,Rabi,Cold Wave,2194,201,4.4,Within 10 Days,1940,1946,2026-07-28
Tamil Nadu,Vellore,Karnal,Wheat,Sharbati Wheat,1645,3864,3211,5156,Stable,Low,Low,Good,No,High,No,Rabi,Flood,4299,117,3.5,Hold for 15 Days,3791,3800,2026-07-23
Bihar,Arrah,Patna,Soybean,Pusa Bold,10245,2718,2344,2997,Stable,Low,High,Good,Yes,Medium,No,Rabi,Heatwave,711,138,3.8,Within 3 Days,2713,2673,2026-07-27
Haryana,Jind,Sangli,Maize,DMH-1,3118,1197,911,1602,Rising,Low,High,Premium,Yes,Medium,Yes,Rabi,Heavy Rain,466,323,3.3,Within 3 Days,1254,1270,2026-07-30
Rajasthan,Udaipur,Bhopal,Banana,Robusta,2537,3572,2867,4415,Rising,Low,Low,Good,No,High,No,Rabi,Drought,922,308,4.4,Within 10 Days,3695,3999,2026-07-29
West Bengal,Jalpaiguri,Varanasi,Cotton,Bunny Bt,1472,3214,2686,3767,Falling,Low,Medium,Good,No,Low,Yes,Perennial,Heavy Rain,3267,330,4.8,Hold for 15 Days,3093,2871,2026-07-25
Telangana,Khammam,Jaipur,Pulses,Masoor Dal,1834,5152,4591,5684,Falling,Low,Low,Good,Yes,Medium,No,Perennial,Flood,3055,19,4.0,Next Week,4796,4488,2026-07-29
Uttar Pradesh,Prayagraj,Visakhapatnam,Onion,Ratnagiri Red,2166,2803,2335,3601,Stable,High,High,Average,No,High,No,Perennial,Heavy Rain,441,52,3.6,Hold for 15 Days,2824,2748,2026-07-24
Uttar Pradesh,Ghaziabad,Hyderabad,Millet,Ragi Millet,3105,1809,1440,2076,Stable,Low,Medium,Premium,Yes,Medium,No,Kharif,Flood,4689,395,4.4,Within 3 Days,1788,1806,2026-07-24
Bihar,Katihar,Jaipur,Garlic,Large Bulb Garlic,4903,4572,3979,5094,Falling,High,Medium,Premium,Yes,High,No,Rabi,Heatwave,4321,57,4.7,Hold for 30 Days,4284,4105,2026-07-28
Gujarat,Ahmedabad,Sangli,Groundnut,TL-001,1691,2717,2107,3529,Stable,Medium,High,Good,Yes,Low,Yes,Kharif,Heavy Rain,4871,396,3.8,Hold for 30 Days,2748,2642,2026-07-25
Madhya Pradesh,Dewas,Warangal,Turmeric,Erode Turmeric,1806,6596,6023,7300,Rising,Medium,Low,Premium,Yes,Low,No,Kharif,Drought,1586,127,3.3,Today,6789,7195,2026-07-24
Rajasthan,Udaipur,Azadpur,Potato,Kufri Bahar,4682,1007,913,1301,Stable,Low,Medium,Average,Yes,High,No,Kharif,Cold Wave,4761,120,4.3,Next Week,1020,963,2026-07-31
Bihar,Darbhanga,Jaipur,Garlic,G-282,1969,4870,4066,5908,Falling,Low,Medium,Premium,Yes,Low,No,Zaid,Heavy Rain,2351,18,3.2,Within 10 Days,4724,4419,2026-08-02
Bihar,Darbhanga,Ahmedabad,Wheat,Sharbati Wheat,2175,3387,2905,4107,Rising,Low,Medium,Premium,No,Medium,No,Perennial,Flood,3030,169,4.3,Within 3 Days,3521,3791,2026-07-29
Telangana,Nalgonda,Lucknow,Pulses,Toor Dal,410,6811,6109,8872,Rising,Medium,Medium,Premium,No,Medium,No,Kharif,Flood,1836,270,3.7,Hold for 15 Days,7202,7669,2026-07-30
Haryana,Panipat,Kolhapur,Garlic,G-282,7991,5650,4919,6576,Stable,High,High,Premium,No,Low,Yes,Rabi,Cold Wave,1229,241,4.9,Within 10 Days,5725,5649,2026-07-29
Tamil Nadu,Tiruchirappalli,Karnal,Groundnut,TAG-24,7533,3733,3273,4169,Rising,Low,High,Premium,No,Medium,No,Zaid,Heatwave,4459,141,4.6,Next Week,3970,4232,2026-07-24
Telangana,Adilabad,Coimbatore,Sugarcane,Co-15018,2033,376,311,438,Stable,Medium,Medium,Premium,Yes,Low,No,Rabi,Drought,3665,27,3.6,Hold for 15 Days,379,387,2026-07-27
Telangana,Nizamabad,Guntur,Wheat,Sharbati Wheat,2467,3918,3544,4247,Rising,Medium,High,Premium,No,Medium,Yes,Kharif,Drought,4146,140,3.7,Within 10 Days,4089,4145,2026-07-28
West Bengal,Burdwan,Ludhiana,Chilli,Teja Chilli,8044,3612,3096,4799,Rising,Low,High,Premium,Yes,Low,No,Kharif,Cold Wave,1123,232,3.3,Next Week,3880,3809,2026-08-02
Haryana,Fatehabad,Kota,Grapes,Sonaka Grapes,8752,3185,2483,3963,Rising,Medium,Low,Good,Yes,Low,No,Rabi,Heatwave,2202,241,4.3,Hold for 15 Days,3297,3347,2026-07-26
