Crop,N,P,K,Temperature,Humidity,Moisture,Soil_Type,Fertilizer
Tomato,63,34,39,28.7,31.1,76.4,Black,Organic
Sugarcane,99,58,54,30.9,34.9,30.3,Sandy,Compost
Sugarcane,122,38,33,20.5,56.2,58.4,Red,Compost
Tomato,105,45,68,24.3,86.9,73.3,Clay,Organic
Cotton,25,35,57,29.2,84.7,59.4,Clay,MOP
Cotton,101,60,26,34.3,63.0,25.6,Clay,MOP
Wheat,129,37,45,20.1,32.1,20.5,Clay,DAP
Sugarcane,87,38,45,19.5,78.0,88.9,Sandy,Urea
Rice,102,77,65,22.5,33.0,55.6,Sandy,Urea
Wheat,43,51,78,33.0,37.5,63.8,Sandy,DAP
Rice,129,22,51,19.3,66.4,75.0,Clay,Urea
Maize,101,73,20,26.2,79.2,70.4,Clay,NPK
Sugarcane,37,79,41,19.9,57.4,39.9,Sandy,Compost
Maize,25,64,79,20.3,34.0,40.8,Loamy,NPK
Millet,119,35,52,22.0,52.7,44.4,Red,SSP
Sugarcane,54,10,26,22.2,46.6,63.1,Clay,Compost
Wheat,56,30,48,30.3,61.5,43.3,Loamy,DAP
Maize,116,32,65,22.5,43.2,28.0,Sandy,NPK
Maize,90,62,25,25.0,89.7,88.1,Sandy,NPK
Rice,38,58,34,32.1,84.0,27.8,Clay,Organic
Cotton,20,24,17,21.5,67.3,42.9,Red,MOP
Sugarcane,91,46,18,22.0,76.6,50.3,Red,Compost
Maize,79,78,22,31.3,58.9,47.0,Sandy,NPK
Millet,55,50,76,38.3,76.7,46.7,Clay,SSP
Wheat,84,49,71,27.6,84.8,83.0,Clay,Organic
Millet,140,56,39,38.3,78.9,32.9,Loamy,Urea
Maize,137,80,17,28.1,72.0,56.8,Loamy,NPK
Wheat,81,65,45,32.7,66.6,69.7,Loamy,NPK
Sugarcane,64,32,20,24.4,36.0,76.7,Black,Compost
Millet,94,67,10,19.6,43.2,42.8,Loamy,SSP
Rice,59,57,63,39.6,45.5,85.5,Loamy,Urea
Maize,75,18,29,36.5,85.3,32.8,Black,NPK
Cotton,123,74,43,26.1,41.9,88.7,Red,MOP
Tomato,116,44,60,30.7,79.3,85.5,Black,MOP
Sugarcane,78,36,79,20.2,77.0,30.2,Sandy,DAP
Millet,92,68,18,38.3,43.9,53.3,Clay,SSP
Maize,124,74,70,30.9,67.8,38.8,Loamy,NPK
Tomato,116,12,80,16.6,38.3,66.6,Black,Organic
Rice,133,38,78,27.8,37.3,48.3,Red,Urea
Wheat,36,20,38,38.8,35.0,36.9,Loamy,DAP
Maize,125,43,12,21.7,35.2,73.4,Clay,Compost
Rice,78,23,56,26.1,55.5,27.7,Sandy,Urea
Sugarcane,139,75,76,16.7,64.3,22.4,Loamy,Compost
Wheat,135,42,50,27.9,80.3,37.4,Loamy,DAP
Wheat,106,57,67,24.6,36.7,88.4,Black,DAP
Millet,81,47,63,35.7,58.1,67.6,Clay,SSP
Wheat,110,26,39,29.5,75.7,80.9,Sandy,DAP
Sugarcane,64,24,49,31.4,61.6,57.6,Loamy,MOP
Cotton,71,24,55,26.9,32.4,84.9,Loamy,SSP
Wheat,116,29,62,38.0,34.7,39.5,Black,DAP
Wheat,63,72,12,27.2,73.3,54.5,Red,DAP
Tomato,41,17,22,22.3,77.8,64.9,Black,Organic
Rice,37,14,59,37.1,83.5,34.4,Sandy,Urea
Rice,85,11,58,28.0,68.3,41.0,Loamy,Urea
Rice,28,44,21,18.3,64.8,67.7,Loamy,Urea
Rice,53,55,58,30.1,73.6,89.5,Clay,Urea
Wheat,39,15,42,19.8,34.7,68.6,Clay,DAP
Millet,124,67,43,27.9,82.1,57.7,Black,Compost
Sugarcane,129,48,63,34.3,81.3,48.3,Clay,Compost
Rice,66,12,63,24.5,66.8,23.9,Red,Urea
Rice,139,49,67,33.5,85.6,38.4,Loamy,Urea
Millet,122,47,31,16.5,71.4,27.9,Clay,NPK
Sugarcane,130,20,66,22.2,38.4,74.8,Clay,DAP
Sugarcane,35,54,65,34.0,54.8,27.4,Black,Compost
Tomato,121,46,79,36.6,76.2,29.5,Sandy,Organic
Sugarcane,130,64,77,22.1,66.4,43.3,Black,Compost
Maize,30,65,66,15.8,41.9,81.9,Black,SSP
Tomato,57,61,25,18.9,57.5,47.0,Loamy,Organic
Wheat,20,43,76,24.6,48.8,80.4,Clay,DAP
Millet,107,36,39,16.6,48.5,42.6,Black,SSP
Rice,112,39,72,22.9,75.6,24.2,Red,Urea
Millet,102,64,42,23.4,56.0,45.4,Sandy,SSP
Millet,23,58,11,34.3,85.3,63.3,Red,Organic
Millet,73,31,67,29.7,69.8,74.7,Loamy,NPK
Tomato,49,22,72,28.1,58.8,36.4,Red,DAP
Cotton,23,20,54,26.3,88.2,64.7,Red,Urea
Millet,26,67,50,28.6,83.5,65.9,Sandy,SSP
Millet,89,74,57,23.9,66.3,53.4,Red,Organic
Rice,106,26,19,35.5,78.1,31.9,Clay,Urea
Tomato,90,40,40,18.8,60.1,50.5,Clay,Organic
Wheat,89,54,60,31.1,49.1,39.7,Black,DAP
Cotton,40,13,54,15.6,47.7,45.0,Red,MOP
Wheat,119,25,22,25.4,58.0,54.1,Clay,DAP
Sugarcane,107,53,29,24.6,32.7,29.4,Loamy,Organic
Maize,51,74,79,17.6,69.0,45.6,Sandy,NPK
Cotton,97,58,56,27.1,43.2,27.5,Clay,SSP
Sugarcane,63,21,44,38.0,38.2,33.0,Loamy,MOP
Tomato,22,28,52,34.5,40.6,55.9,Red,Organic
Tomato,113,78,16,23.7,57.2,27.5,Loamy,Organic
Tomato,41,77,60,39.6,56.2,76.2,Black,Organic
Wheat,39,63,11,25.9,41.4,54.4,Red,DAP
Wheat,136,45,45,27.5,89.4,41.0,Sandy,DAP
Sugarcane,48,16,29,28.9,82.2,28.2,Clay,Compost
Sugarcane,95,57,61,36.9,83.1,42.0,Sandy,Compost
Millet,26,51,24,30.4,78.6,59.7,Black,SSP
Wheat,53,80,33,35.6,55.2,53.7,Sandy,Organic
Cotton,44,26,59,24.1,71.1,51.7,Red,MOP
Cotton,46,29,59,23.5,52.9,50.0,Black,NPK
Millet,132,62,68,27.2,74.7,24.7,Red,SSP
Tomato,100,13,41,38.3,70.5,63.6,Loamy,MOP
Maize,26,31,18,16.8,71.3,76.4,Clay,NPK
Sugarcane,46,18,14,19.3,58.0,42.0,Red,Compost
Tomato,39,52,12,33.8,65.2,23.1,Red,Organic
Rice,53,68,46,27.8,40.6,87.5,Clay,Urea
Sugarcane,21,75,54,33.5,63.9,49.5,Sandy,Compost
Rice,89,30,72,39.5,89.1,35.1,Black,Urea
Cotton,121,12,27,31.5,51.7,48.7,Loamy,MOP
Maize,59,24,47,18.7,37.4,73.9,Sandy,NPK
Sugarcane,132,35,63,26.0,36.1,21.7,Clay,Compost
Tomato,37,16,78,16.5,55.3,69.0,Loamy,Organic
Millet,121,71,51,17.7,73.6,53.8,Clay,SSP
Maize,48,22,54,32.1,62.6,28.7,Black,NPK
Sugarcane,78,20,32,20.4,52.7,63.4,Sandy,Compost
Wheat,97,45,78,28.1,49.8,87.8,Loamy,DAP
Cotton,54,35,71,31.1,53.6,80.1,Black,Organic
Cotton,50,33,37,19.9,65.4,83.6,Clay,MOP
Maize,134,44,44,25.5,71.1,88.8,Clay,NPK
Rice,58,73,14,21.6,76.4,38.1,Red,Urea
Cotton,107,70,58,37.6,59.0,61.4,Loamy,MOP
Maize,42,32,72,24.8,37.2,45.4,Red,NPK
Wheat,45,80,63,23.1,86.3,48.3,Clay,DAP
Millet,134,78,28,29.3,51.8,56.9,Loamy,SSP
Millet,134,54,18,19.0,78.7,76.3,Loamy,DAP
Wheat,73,56,33,22.2,86.3,76.1,Loamy,DAP
Tomato,29,52,40,23.5,36.2,42.3,Clay,Organic
Wheat,103,16,32,20.4,72.7,67.3,Sandy,DAP
Wheat,105,22,23,18.8,84.6,23.2,Loamy,DAP
Wheat,57,24,77,26.0,50.2,71.3,Sandy,Organic
Rice,131,17,12,23.8,33.2,73.0,Red,Urea
Sugarcane,43,77,35,24.5,55.3,34.6,Clay,Compost
Rice,74,60,33,22.7,41.4,90.0,Loamy,Compost
Tomato,123,78,41,38.5,70.4,46.0,Loamy,Organic
Cotton,109,78,74,15.4,44.9,20.3,Loamy,Organic
Millet,131,71,68,27.7,65.9,68.9,Black,SSP
Wheat,43,52,13,28.7,65.7,22.6,Loamy,DAP
Wheat,63,53,71,36.8,43.2,60.4,Red,DAP
Maize,44,27,33,28.7,70.6,28.3,Loamy,NPK
Tomato,130,31,11,18.8,30.3,52.6,Black,Organic
Cotton,133,37,67,15.2,36.8,79.1,Loamy,MOP
Sugarcane,125,15,61,33.5,39.5,21.2,Red,Compost
Millet,26,50,26,37.2,61.8,83.9,Sandy,SSP
Tomato,35,36,14,21.2,32.2,28.7,Red,MOP
Tomato,31,51,41,24.4,66.5,42.3,Clay,Organic
