Category,Crop,Disease,Question,Answer,Keywords
Fertilizer,rice,blast,What GAP should I follow for rice to meet market and export standards?,"In rice, balanced NPK (e.g., 100:50:50) improves yield and resilience. Apply full P and K at sowing; split N in 2–3 doses. Foliar 19:19:19 (2–3 g/L) at flowering boosts fruit set. Add 4–5 t/ha compost + 20 kg/ha ZnSO4 in Zn-deficient black soils. Avoid late heavy N to reduce lodging and pest risk.","agriculture,black,blast,farming,fertilizer,india,rice"
Disease,wheat,powdery mildew,"How can I control aphids, armyworm, termites, grasshoppers in wheat using IPM and reduce chemical sprays?","In wheat, powdery mildew shows white powdery growth on leaves and stems. Prevent by using certified seeds, crop rotation, and balanced NPK. For fungal diseases, spray mancozeb 0.25% or carbendazim 0.1% at first sign. Improve drainage and avoid late evening irrigation. Remove infected debris.","agriculture,disease,farming,india,powdery mildew,red,wheat"
Pest,maize,fusarium stalk rot,How should I plan crop rotation with maize to improve soil health?,"In maize, pests like stem borer, fall armyworm, aphids, termites cause yield loss. Use sticky traps for whiteflies/aphids. Apply recommended insecticides at correct doses. Maintain field hygiene and remove weed hosts. Keep records of inputs and yields each season to refine your plan.","agriculture,black,farming,fusarium stalk rot,india,maize,pest"
Irrigation,cotton,boll rot,Which irrigation method saves the most water for cotton without reducing yield?,"Use 4–6 irrigations for cotton depending on soil and rainfall. First irrigation 20–25 days after sowing, then at tillering, flowering, and grain filling. Drip/fertigation saves 30–40% water and improves uniformity. Mulching reduces evaporation. Avoid late heavy irrigation to prevent lodging.","agriculture,black,boll rot,cotton,farming,india,irrigation"
Weather,sugarcane,smut,What water conservation practices work best for sugarcane in my area?,"In sugarcane, avoid sowing during heatwaves (>38°C). Use early-morning irrigation and mulch to reduce heat stress. For cold waves, ensure adequate soil moisture and avoid late nitrogen. Watch IMD advisories for rainfall and temperature. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,loamy,smut,sugarcane,weather"
Soil,soybean,sudden death syndrome,How do I move towards regenerative agriculture in soybean?,"In soybean, heavy clay soils need raised beds and proper drainage. Sandy soils benefit from mulching and frequent light irrigations. Loamy soils are ideal; maintain OC with crop residues and manures. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,red,soil,soybean,sudden death syndrome"
Government Scheme,tomato,leaf curl virus,How can I increase yield in tomato with better agronomy and protection?,"In tomato, agri-business ideas can access credit via NABARD and agri-clinics schemes. Explore FPO formation, common facility centers, and market linkage programs. Check state horticulture missions for post-harvest support. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,government_scheme,india,leaf curl virus,red,tomato"
Harvesting,potato,bacterial wilt,What is the best fertilizer dose and schedule for potato in clay soil?,"For potato, harvest in dry weather. Use sharp sickles or mechanical harvesters to minimize losses. Dry produce to safe moisture (grains 12–14%, pulses 10–12%) before storage. Clean and grade before marketing. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial wilt,clay,farming,harvesting,india,potato"
Marketing,onion,bacterial rot,Which government schemes can I use for onion cultivation and marketing?,"For onion, MSP announcements and procurement vary by state. Register on e-NAM for better market access. FPO membership can improve bargaining power. Explore agri-infrastructure funds for storage and processing. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bacterial rot,farming,india,marketing,onion"
Organic Farming,chilli,bacterial leaf spot,"What are the signs of Zn, B, or S deficiency in chilli and how do I correct them?","For organic chilli, use well-decomposed FYM (10–15 t/ha), vermicompost (2–3 t/ha), and biofertilizers (Rhizobium, PSB, Azotobacter). Avoid synthetic fertilizers and pesticides. Use neem-based products and botanicals for pest control. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,chilli,clay,farming,india,organic_farming"
Yield Improvement,brinjal,fruit rot,"What soil type and pH are ideal for brinjal, and how do I improve my soil?","In brinjal, yield gaps arise from poor plant stand, nutrient imbalance, and pest damage. Use soil test-based fertilizers, IPM, and timely irrigation. Record field operations for continuous improvement. Keep records of inputs and yields each season to refine your plan.","agriculture,brinjal,farming,fruit rot,india,laterite,yield_improvement"
Seed Selection,cabbage,alternaria leaf spot,Which government schemes can I use for cabbage cultivation and marketing?,"Use certified seeds of cabbage for uniform germination and higher yield. Treat seeds with thiram/carbendazim (2 g/kg) or bio-agents (Trichoderma 4–5 g/kg). Store seeds in cool, dry place in moisture-proof bags. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,cabbage,farming,india,loamy,seed_selection"
Storage,cauliflower,clubroot,"What soil type and pH are ideal for cauliflower, and how do I improve my soil?","For cauliflower, maintain ventilation in stores. Use insect-proof screens. In humid areas, prefer hermetic storage. Avoid storing near chemicals or fertilizers to prevent contamination. Keep records of inputs and yields each season to refine your plan.","agriculture,cauliflower,clubroot,farming,india,loamy,storage"
Post-Harvest,okra,yellow vein mosaic,How do I practice organic farming in okra without losing yield?,"In okra, fumigation should be done by trained personnel. Seal stores properly, use recommended doses, and observe aeration periods before sale or consumption. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,loamy,okra,post-harvest,yellow vein mosaic"
Mechanization,groundnut,stem rot,When and how should I harvest groundnut to get maximum yield and quality?,"For groundnut, mechanization (seed drills, rotavators, harvesters) reduces cost and timeliness losses. Calibrate equipment for correct seed rate and spacing. Maintain machines regularly for safety and efficiency. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,groundnut,india,loamy,mechanization,stem rot"
Intercropping,mustard,alternaria leaf spot,How do I store mustard grains safely to avoid pests and mold?,"In mustard, intercropping breaks pest cycles and improves biodiversity. Select crops with different canopy heights and root depths. Monitor for pest shifts and adjust management. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria leaf spot,farming,india,intercropping,mustard,sandy"
Crop Rotation,sunflower,downy mildew,How do I store sunflower grains safely to avoid pests and mold?,"Rotate sunflower with non-host crops (e.g., legumes) to break disease and pest cycles. Include green manures to improve soil health. Plan 2–3 year rotations based on soil and water availability. Keep records of inputs and yields each season to refine your plan.","agriculture,clay,crop_rotation,downy mildew,farming,india,sunflower"
Water Conservation,bajra,blast,How can I increase yield in bajra with better agronomy and protection?,"In bajra, deficit irrigation at vegetative stage saves water without yield loss. Use crop residues as mulch to reduce evaporation. Monitor weather forecasts to avoid irrigation before rain. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,bajra,blast,farming,india,water_conservation"
Micronutrients,jowar,anthracnose,What is a good NPK plan for jowar to avoid lodging and disease?,B deficiency in jowar causes poor fruit set and hollow stems. Apply borax (10–15 kg/ha) or foliar 0.2% boron at flowering. Avoid overuse; excess B is toxic. Keep records of inputs and yields each season to refine your plan.,"agriculture,alluvial,anthracnose,farming,india,jowar,micronutrients"
NPK Management,ragi,smut,What carbon farming practices can I adopt in ragi fields?,"Balanced NPK in ragi improves yield and stress tolerance. Use soil test-based doses; typical ranges: N 80–120, P2O5 40–60, K2O 40–60 kg/ha. Split N in 2–3 doses; place P and K basally near seed. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,npk_management,ragi,sandy,smut"
IPM,gram,alternaria blight,What weather conditions harm gram and how do I protect my crop?,"For gram, integrate pheromone traps (10–12/ha), NSKE 5%, and targeted insecticides. Avoid prophylactic sprays. Train labor on safe handling and PPE use. Keep records of inputs and yields each season to refine your plan.","agriculture,alternaria blight,farming,gram,india,ipm,sandy"
Weed Management,pigeon pea,sterility mosaic,How can I increase yield in pigeon pea with better agronomy and protection?,"For pigeon pea, hand weeding is effective but labor-intensive. Combine with pre-emergence sprays and mulching. Keep field borders clean to reduce weed seed bank. Keep records of inputs and yields each season to refine your plan.","agriculture,farming,india,pigeon pea,red,sterility mosaic,weed_management"
Protected Cultivation,green gram,anthracnose,How do I move towards regenerative agriculture in green gram?,"In green gram, protected cultivation reduces pesticide use. Combine with biological controls and hygiene. Plan crop cycles to match market demand. Keep records of inputs and yields each season to refine your plan.","agriculture,anthracnose,farming,green gram,india,protected_cultivation,sandy"
Greenhouse,black gram,yellow mosaic virus,"What are the signs of Zn, B, or S deficiency in black gram and how do I correct them?","Protected cultivation (shade nets, low tunnels) in black gram reduces pest and weather damage. Use drip fertigation and mulch. Monitor temperature and humidity to prevent diseases. Keep records of inputs and yields each season to refine your plan.","agriculture,black gram,farming,greenhouse,india,sandy,yellow mosaic virus"
Hydroponics,banana,sigatoka leaf spot,How do I manage sigatoka leaf spot in banana? What are the symptoms and spray schedule?,"In banana, hydroponics saves water and nutrients. Maintain EC and pH in recommended ranges. Use sterile media and prevent root diseases with sanitation. Keep records of inputs and yields each season to refine your plan.","agriculture,banana,clay,farming,hydroponics,india,sigatoka leaf spot"
Carbon Farming,mango,spongy tissue,Which irrigation method saves the most water for mango without reducing yield?,"For mango, agroforestry and perennial systems sequester more carbon. Use diverse rotations and organic amendments. Maintain records for potential carbon income. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,carbon_farming,farming,india,mango,spongy tissue"
Regenerative Agriculture,papaya,bacterial leaf spot,"What are the signs of Zn, B, or S deficiency in papaya and how do I correct them?","For papaya, integrate trees, shrubs, and perennials to enhance resilience. Use organic amendments and biological pest control. Build local knowledge and community practices. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf spot,farming,india,papaya,regenerative_agriculture,sandy"
GAP,grapes,black rot,How do I set up protected cultivation or greenhouse for grapes?,"For grapes, GAP aligns with food safety and export requirements. Maintain field maps, input logs, and harvest records. Use clean containers and cold chain where needed. Keep records of inputs and yields each season to refine your plan.","agriculture,black rot,farming,gap,grapes,india,laterite"
Insurance,pomegranate,anthracnose,"How can I control fruit fly, thrips, mealybug, aphids in pomegranate using IPM and reduce chemical sprays?","For pomegranate, insurance complements good agronomy. Keep plot-wise records and photos of damage. Understand exclusions and claim processes. Pay premiums on time. Keep records of inputs and yields each season to refine your plan.","agriculture,alluvial,anthracnose,farming,india,insurance,pomegranate"
Fertilizer,citrus,leaf miner damage,Which government schemes can I use for citrus cultivation and marketing?,"In citrus, apply 80–120 kg N/ha, 40–60 kg P2O5/ha, 40 kg K2O/ha. Use basal NPK (15:15:15) at 150–200 kg/ha, then top-dress urea twice. Add ZnSO4 (20–25 kg/ha) once in 2–3 years. Include 5–10 t/ha FYM before sowing. In saline soils, prefer gypsum and avoid chloride fertilizers.","agriculture,citrus,farming,fertilizer,india,leaf miner damage,loamy"
Disease,turmeric,bacterial leaf streak,How do I implement IPM in turmeric step by step?,"For bacterial leaf streak in turmeric, early detection is key. Symptoms include narrow streaks on leaves. Spray recommended fungicides (e.g., propiconazole, tebuconazole) at label doses. Practice field sanitation, avoid water stagnation, and maintain plant spacing for airflow. Keep records of inputs and yields each season to refine your plan.","agriculture,bacterial leaf streak,disease,farming,india,loamy,turmeric"
