Crop,State,Soil_Type,Rainfall_mm,Temperature_C,Area_Hectare,Yield_ton_per_hectare,Production_ton,Estimated_Revenue_INR
Wheat,Maharashtra,Alluvial,667.3,18.5,11.15,3.55,39.58,831180.0
Onion,Maharashtra,Loamy,932.9,15.7,22.65,18.38,416.31,7493580.0
Onion,UP,Black,1141.9,32.9,70.43,20.05,1412.12,25418160.0
Tomato,Punjab,Laterite,1183.9,35.2,1.64,31.4,51.5,618000.0
Maize,Gujarat,Alluvial,716.8,20.4,76.59,5.26,402.86,7251480.0
Wheat,Maharashtra,Laterite,445.1,36.2,60.77,3.56,216.34,4543140.0
Rice,Gujarat,Loamy,487.2,38.1,8.8,4.42,38.9,855800.0
Sugarcane,UP,Alluvial,1166.0,32.6,5.54,75.49,418.21,1463735.0
Cotton,Karnataka,Black,1583.0,36.7,38.63,2.36,91.17,5926050.0
Potato,Karnataka,Red,855.3,20.2,27.43,23.05,632.26,9483900.0
Wheat,UP,Red,1101.2,21.1,46.76,3.73,174.41,3662610.0
Sugarcane,UP,Red,1326.9,36.1,77.82,73.4,5711.99,19991965.0
Cotton,Maharashtra,Alluvial,901.7,16.7,91.4,2.23,203.82,13248300.0
Millet,Karnataka,Red,1283.2,24.9,91.54,2.36,216.03,6048840.0
Potato,Punjab,Alluvial,509.4,33.6,54.36,23.21,1261.7,18925500.0
Millet,Gujarat,Loamy,899.1,20.5,99.76,2.22,221.47,6201160.0
Onion,Gujarat,Black,1433.7,36.5,16.13,19.59,315.99,5687820.0
Maize,Gujarat,Loamy,395.3,24.5,99.62,5.41,538.94,9700920.0
Onion,Karnataka,Loamy,1591.2,15.3,72.35,18.89,1366.69,24600420.0
Onion,Karnataka,Alluvial,467.3,25.9,45.92,20.0,918.4,16531200.0
Sugarcane,UP,Red,1061.5,17.7,62.9,70.86,4457.09,15599815.0
Onion,UP,Red,529.3,34.1,54.4,19.26,1047.74,18859320.0
Onion,Maharashtra,Loamy,786.2,15.5,92.98,18.21,1693.17,30477060.0
Sugarcane,Punjab,Black,661.3,29.2,8.8,76.33,671.7,2350950.0
Potato,Maharashtra,Loamy,1448.8,18.2,48.05,23.21,1115.24,16728600.0
Onion,Punjab,Alluvial,1091.5,30.2,96.47,20.54,1981.49,35666820.0
Onion,Punjab,Alluvial,898.5,31.8,37.97,20.05,761.3,13703400.0
Onion,Gujarat,Black,671.9,16.6,3.08,18.32,56.43,1015740.0
Onion,Punjab,Loamy,630.3,16.8,63.48,18.33,1163.59,20944620.0
Cotton,Maharashtra,Black,1589.5,16.8,24.56,2.3,56.49,3671850.0
Potato,Punjab,Loamy,498.5,38.4,57.53,22.04,1267.96,19019400.0
Potato,Punjab,Laterite,1511.2,19.8,10.6,23.66,250.8,3762000.0
Tomato,Karnataka,Laterite,916.7,36.6,6.36,30.57,194.43,2333160.0
Wheat,Maharashtra,Laterite,1392.3,35.0,11.82,3.77,44.56,935760.0
Cotton,Punjab,Loamy,972.9,25.5,28.58,2.45,70.02,4551300.0
Cotton,Maharashtra,Laterite,1512.0,36.4,10.69,2.36,25.23,1639950.0
Onion,Maharashtra,Black,1689.6,36.2,17.46,19.88,347.1,6247800.0
Potato,Gujarat,Red,1597.0,37.6,17.3,23.42,405.17,6077550.0
Rice,Gujarat,Alluvial,1689.8,34.6,29.24,4.85,141.81,3119820.0
Onion,Gujarat,Red,584.8,20.4,6.79,19.01,129.08,2323440.0
Onion,Maharashtra,Alluvial,385.7,29.6,50.78,20.03,1017.12,18308160.0
Onion,Punjab,Black,1741.2,17.0,19.4,19.37,375.78,6764040.0
Millet,Maharashtra,Red,905.7,38.5,57.4,2.15,123.41,3455480.0
Millet,UP,Black,1229.1,25.5,58.78,2.37,139.31,3900680.0
Onion,Karnataka,Alluvial,606.4,32.9,24.63,19.57,482.01,8676180.0
Tomato,Punjab,Alluvial,985.8,38.2,93.64,30.16,2824.18,33890160.0
Rice,Gujarat,Loamy,1797.7,39.9,8.25,4.62,38.12,838640.0
Cotton,UP,Alluvial,498.7,23.7,7.81,2.35,18.35,1192750.0
Cotton,Karnataka,Alluvial,536.6,35.8,70.65,2.27,160.38,10424700.0
Millet,UP,Black,1301.8,28.9,93.24,2.41,224.71,6291880.0
Wheat,Punjab,Alluvial,473.1,17.7,55.77,3.49,194.64,4087440.0
Sugarcane,Karnataka,Loamy,615.9,23.6,69.06,73.78,5095.25,17833375.0
Sugarcane,UP,Laterite,676.7,37.7,6.03,70.01,422.16,1477560.0
Tomato,Karnataka,Black,305.3,34.3,64.07,30.42,1949.01,23388120.0
Sugarcane,Punjab,Laterite,1127.5,25.7,1.96,77.08,151.08,528780.0
Wheat,Punjab,Loamy,354.0,24.2,55.7,3.72,207.2,4351200.0
Tomato,Punjab,Black,762.4,37.5,79.82,30.06,2399.39,28792680.0
Rice,Karnataka,Red,1323.1,31.7,36.01,4.91,176.81,3889820.0
Onion,Gujarat,Loamy,1424.2,38.1,24.44,19.26,470.71,8472780.0
Maize,Punjab,Laterite,337.2,33.4,33.89,5.29,179.28,3227040.0
Tomato,Punjab,Alluvial,538.8,32.5,38.87,31.34,1218.19,14618280.0
Rice,Gujarat,Red,599.4,38.0,35.62,4.45,158.51,3487220.0
Cotton,Punjab,Black,1290.0,25.0,28.58,2.47,70.59,4588350.0
Wheat,Karnataka,Alluvial,1262.2,25.0,98.13,3.9,382.71,8036910.0
Onion,Karnataka,Black,473.0,39.3,18.68,18.17,339.42,6109560.0
Sugarcane,Maharashtra,Black,1194.9,23.6,78.86,75.73,5972.07,20902245.0
Tomato,UP,Loamy,473.5,37.5,19.82,29.64,587.46,7049520.0
Rice,Gujarat,Black,1079.9,35.2,69.0,4.69,323.61,7119420.0
Cotton,Karnataka,Laterite,405.0,31.6,33.69,2.36,79.51,5168150.0
Soybean,Maharashtra,Alluvial,1060.7,31.7,33.29,2.02,67.25,3026250.0
Sugarcane,UP,Red,587.8,31.6,38.54,74.28,2862.75,10019625.0
Maize,UP,Loamy,751.4,28.7,1.04,5.65,5.88,105840.0
Sugarcane,Punjab,Laterite,1478.6,30.2,32.9,78.34,2577.39,9020865.0
Potato,Gujarat,Red,1066.8,34.8,96.02,23.52,2258.39,33875850.0
Maize,Maharashtra,Alluvial,1073.2,30.8,34.18,5.61,191.75,3451500.0
Cotton,Karnataka,Red,1509.8,18.7,5.58,2.34,13.06,848900.0
Potato,UP,Black,983.1,37.2,57.99,22.85,1325.07,19876050.0
Tomato,Gujarat,Laterite,666.0,31.4,1.55,31.87,49.4,592800.0
Wheat,Gujarat,Red,563.8,38.9,52.28,3.48,181.93,3820530.0
Rice,UP,Red,1676.2,18.0,14.2,4.68,66.46,1462120.0
Potato,UP,Loamy,1193.2,38.8,89.25,22.7,2025.97,30389550.0
Millet,UP,Laterite,1545.9,28.7,89.82,2.44,219.16,6136480.0
Potato,Gujarat,Alluvial,1427.7,36.0,28.45,23.62,671.99,10079850.0
Onion,Gujarat,Red,711.9,16.9,29.29,18.42,539.52,9711360.0
Sugarcane,Karnataka,Alluvial,1639.5,17.0,15.93,72.28,1151.42,4029970.0
Tomato,Punjab,Red,396.3,25.2,54.72,31.67,1732.98,20795760.0
Tomato,Maharashtra,Red,1549.3,24.7,77.21,33.17,2561.06,30732720.0
Rice,UP,Laterite,1015.5,38.6,30.56,4.51,137.83,3032260.0
Tomato,Gujarat,Loamy,1421.3,28.7,60.72,33.82,2053.55,24642600.0
Cotton,Gujarat,Red,709.4,27.1,39.5,2.46,97.17,6316050.0
Tomato,Punjab,Laterite,1679.3,39.5,53.88,30.74,1656.27,19875240.0
